time	track	channel	pitch	velocity	instrument	
10666672	1	0	78	100	0	
12565284	1	0	78	0	0	
12665284	1	0	82	100	0	
13298617	1	0	82	0	0	
13331951	1	0	87	100	0	
15231952	1	0	87	0	0	
15331952	1	0	85	100	0	
15965285	1	0	85	0	0	
15998619	1	0	82	100	0	
17897231	1	0	82	0	0	
18000009	1	0	82	100	0	
18631953	1	0	82	0	0	
18666676	1	0	77	100	0	
20563899	1	0	77	0	0	
20666677	1	0	77	100	0	
21298621	1	0	77	0	0	
21333344	1	0	78	100	0	
23231956	1	0	78	0	0	
23333345	1	0	82	100	0	
23963900	1	0	82	0	0	
24000012	1	0	87	100	0	
25898624	1	0	87	0	0	
26000013	1	0	85	100	0	
26630568	1	0	85	0	0	
26666680	1	0	82	100	0	
28565292	1	0	82	0	0	
28666681	1	0	82	100	0	
29298625	1	0	82	0	0	
29333348	1	0	77	100	0	
31231960	1	0	77	0	0	
31331960	1	0	77	100	0	
31965293	1	0	77	0	0	
31998627	1	0	78	100	0	
33898628	1	0	78	0	0	
33998628	1	0	82	100	0	
34631961	1	0	82	0	0	
34665295	1	0	87	100	0	
36563907	1	0	87	0	0	
36666685	1	0	85	100	0	
37298629	1	0	85	0	0	
37333352	1	0	82	100	0	
39230575	1	0	82	0	0	
39333353	1	0	82	100	0	
39963908	1	0	82	0	0	
40000020	1	0	77	100	0	
41898632	1	0	77	0	0	
42000021	1	0	77	100	0	
42630576	1	0	77	0	0	
42666688	1	0	78	100	0	
44565300	1	0	78	0	0	
44666689	1	0	82	100	0	
45298633	1	0	82	0	0	
45333356	1	0	87	100	0	
47231968	1	0	87	0	0	
47333357	1	0	85	100	0	
47965301	1	0	85	0	0	
48000024	1	0	82	100	0	
49898636	1	0	82	0	0	
49998636	1	0	82	100	0	
50631969	1	0	82	0	0	
50665303	1	0	77	126	0	
53197248	1	0	77	0	0	
54666694	1	0	78	100	0	
55298638	1	0	78	0	0	
55333361	1	0	78	100	0	
55965305	1	0	78	0	0	
56000028	1	0	78	100	0	
56631972	1	0	78	0	0	
56666695	1	0	82	100	0	
57298639	1	0	82	0	0	
57333362	1	0	87	100	0	
57963917	1	0	87	0	0	
58000029	1	0	87	100	0	
58630584	1	0	87	0	0	
58666696	1	0	87	100	0	
59297251	1	0	87	0	0	
59333363	1	0	85	100	0	
59963918	1	0	85	0	0	
60000030	1	0	82	100	0	
60630585	1	0	82	0	0	
60666697	1	0	82	100	0	
61297252	1	0	82	0	0	
61333364	1	0	82	100	0	
61963919	1	0	82	0	0	
62000031	1	0	82	100	0	
62630586	1	0	82	0	0	
62666698	1	0	77	100	0	
63298642	1	0	77	0	0	
63333365	1	0	77	100	0	
63965309	1	0	77	0	0	
64000032	1	0	77	100	0	
64631976	1	0	77	0	0	
64666699	1	0	77	100	0	
65298643	1	0	77	0	0	
65333366	1	0	78	100	0	
65965310	1	0	78	0	0	
66000033	1	0	78	100	0	
66631977	1	0	78	0	0	
66665311	1	0	78	100	0	
67298644	1	0	78	0	0	
67331978	1	0	82	100	0	
67965311	1	0	82	0	0	
67998645	1	0	87	100	0	
68631978	1	0	87	0	0	
68665312	1	0	87	100	0	
69298645	1	0	87	0	0	
69331979	1	0	87	100	0	
69965312	1	0	87	0	0	
69998646	1	0	85	100	0	
70631979	1	0	85	0	0	
70665313	1	0	82	100	0	
71298646	1	0	82	0	0	
71331980	1	0	82	100	0	
71965313	1	0	82	0	0	
72000036	1	0	82	100	0	
72631980	1	0	82	0	0	
72666703	1	0	82	100	0	
73298647	1	0	82	0	0	
73333370	1	0	77	100	0	
73965314	1	0	77	0	0	
74000037	1	0	77	100	0	
74631981	1	0	77	0	0	
74666704	1	0	77	100	0	
75297259	1	0	77	0	0	
75333371	1	0	77	100	0	
75963926	1	0	77	0	0	
76000038	1	0	78	100	0	
